crop,year,production,area,yield
Arecanut,2011,1976272.0,416213.36,4.748218557905013
Arecanut,2013,2632202.0,415932.9,6.328429417341114
Arecanut,2014,2428380.0,429580.5,5.652910222880228
Arecanut,2015,2671675.0,442981.21,6.031124886764384
Arecanut,2016,2806129.0,451443.5,6.215902986752495
Arecanut,2017,3254257.0,472133.3,6.892665694201193
Arecanut,2018,4459325.0,671437.98,6.6414548071885955
Arecanut,2019,5616624.0,697194.8,8.056032546427483
Arhar/Tur,2011,2466955.0,3762903.0,0.6555988820333662
Arhar/Tur,2013,3021118.0,3538731.5,0.8537290834300371
Arhar/Tur,2014,2078572.0,3485492.9,0.5963495148706227
Arhar/Tur,2015,2166798.0,3598201.0,0.6021892606888831
Arhar/Tur,2016,5566946.0,4996907.5,1.1140782574022032
Arhar/Tur,2017,4393212.0,4492072.0,0.9779923385021433
Arhar/Tur,2018,3162968.0,4477018.0,0.7064899001969615
Arhar/Tur,2019,4002570.0,4722536.0,0.847546741835319
Bajra,2011,12420188.0,8801756.0,1.4111034207265005
Bajra,2013,9975276.0,7799380.0,1.2789832012288156
Bajra,2014,9465871.0,7350324.2,1.287816801332382
Bajra,2015,7844496.0,7160158.3,1.0955757779824504
Bajra,2016,9808929.0,7469172.0,1.313255204191308
Bajra,2017,9317335.0,7508419.0,1.240918361109043
Bajra,2018,8663982.0,7173137.4,1.2078371731733453
Bajra,2019,11187272.0,7620138.0,1.4681193437704148
Banana,2011,12718128.0,403985.4,31.48165255477054
Banana,2013,10959123.0,333761.5,32.83519219562472
Banana,2014,9485918.0,315905.0,30.027755179563478
Banana,2015,11177201.0,336727.21,33.193637662961656
Banana,2016,11389806.0,333873.9,34.114095171859795
Banana,2017,17959279.0,394622.9,45.5099767398192
Banana,2018,19276997.0,403958.11,47.72028713571316
Banana,2019,18997037.0,443426.29,42.84147653942666
Barley,2011,1601559.0,631637.0,2.535568688978005
Barley,2013,1812277.0,670411.0,2.7032327930180142
Barley,2014,1537673.0,661160.0,2.3257199467602394
Barley,2015,1516953.0,572211.0,2.6510378164697985
Barley,2016,1931653.0,654159.0,2.952879957319245
Barley,2017,1931234.0,633691.0,3.0475957525039807
Barley,2018,1508052.0,491798.0,3.0664053127503568
Barley,2019,1800494.0,574743.0,3.132694091098108
Black pepper,2011,50233.0,115968.38,0.43316117721054653
Black pepper,2013,106806.0,121740.3,0.8773265713982962
Black pepper,2014,67708.0,127889.0,0.5294278632251406
Black pepper,2015,76953.0,130748.26999999999,0.5885584566434416
Black pepper,2016,66198.0,133326.3,0.4965111909653235
Black pepper,2017,75367.0,137159.62,0.5494838787100752
Black pepper,2018,140723.0,241964.85,0.5815844739432194
Black pepper,2019,125328.0,273663.22,0.4579643548738483
Cardamom,2011,2699.0,31692.0,0.08516344818881737
Cardamom,2013,15882.0,62434.0,0.2543806259409937
Cardamom,2014,17790.0,61969.0,0.28707902338265906
Cardamom,2015,21335.0,60397.0,0.3532460221534182
Cardamom,2016,19257.0,59649.0,0.3228386058441885
Cardamom,2017,20467.0,57584.0,0.35542859127535426
Cardamom,2018,12089.0,44519.0,0.27154697994114874
Cardamom,2019,10725.0,45452.0,0.23596321393998063
Cashewnut,2011,167874.0,362204.21,0.46347887563206397
Cashewnut,2013,199734.0,395926.6,0.5044722936018949
Cashewnut,2014,199636.0,383884.0,0.5200425128424212
Cashewnut,2015,172805.0,375910.84,0.4596967727772894
Cashewnut,2016,162673.0,372989.0,0.43613350527763556
Cashewnut,2017,206439.0,288930.7,0.7144931293213217
Cashewnut,2018,234370.0,352481.72,0.6649139138336025
Cashewnut,2019,269560.0,353869.06,0.7617506882347951
Castor seed,2011,2308175.0,1459067.0,1.5819527136176748
Castor seed,2013,1756330.0,990637.0,1.7729299430568413
Castor seed,2014,1846959.0,1053883.0,1.7525275576131316
Castor seed,2015,1738132.0,1036106.0,1.6775619482948656
Castor seed,2016,1370502.0,788366.0,1.7384083027426347
Castor seed,2017,1716381.0,816531.0,2.102040216476778
Castor seed,2018,1191733.0,743832.0,1.6021534432506266
Castor seed,2019,1802079.0,1030960.0,1.7479620935826803
Coriander,2011,418818.0,463120.0,0.9043401278286405
Coriander,2013,229119.0,359133.0,0.6379781306646841
Coriander,2014,237511.0,316250.0,0.7510229249011857
Coriander,2015,606554.0,516422.44,1.1745306807349425
Coriander,2016,611134.0,484342.83,1.2617798017160695
Coriander,2017,540948.0,403854.92,1.339461210476277
Coriander,2018,489826.0,374371.0,1.3083972850461174
Coriander,2019,518162.0,395769.48,1.309252042375779
Cotton(lint),2011,29096477.0,12252438.0,2.3747499885328947
Cotton(lint),2013,34139420.0,11964168.0,2.853472134460165
Cotton(lint),2014,27618020.0,12827296.0,2.1530663984054006
Cotton(lint),2015,21816770.0,12139581.0,1.7971600502521463
Cotton(lint),2016,27979327.0,11084365.0,2.5242155955708783
Cotton(lint),2017,31099604.0,12408679.3,2.5062783272995053
Cotton(lint),2018,26133620.0,12269968.4,2.129884865881154
Cotton(lint),2019,33178873.0,13483906.7,2.460627601346426
Cowpea(Lobia),2011,61311.0,111586.0,0.549450647930744
Cowpea(Lobia),2013,56199.0,108986.0,0.5156533866735177
Cowpea(Lobia),2014,61079.0,101114.9,0.6040553864959566
Cowpea(Lobia),2015,81455.0,123528.0,0.6594051551065345
Cowpea(Lobia),2016,64176.0,89639.0,0.715938375037651
Cowpea(Lobia),2017,94481.0,189248.7,0.49924253112438816
Cowpea(Lobia),2018,97380.0,167618.0,0.5809638582968416
Cowpea(Lobia),2019,133075.0,203070.0,0.6553159009208648
Dry chillies,2011,1156883.0,537042.0,2.1541760234767486
Dry chillies,2013,1271115.0,481086.5,2.6421755754942198
Dry chillies,2014,1283986.0,425127.6,3.020236747743501
Dry chillies,2015,1413577.0,555664.41,2.5439401454557795
Dry chillies,2016,2176709.0,671091.27,3.2435364566730245
Dry chillies,2017,1471655.0,492927.13,2.985542710947965
Dry chillies,2018,1370449.0,593431.48,2.309363500567917
Dry chillies,2019,1561755.0,487886.08999999997,3.201064822323588
Garlic,2011,1054861.0,226580.0,4.655578603583723
Garlic,2013,1173976.0,221736.0,5.294476314175416
Garlic,2014,337456.0,60957.0,5.5359679774267105
Garlic,2015,1940096.0,244676.73,7.929221548775807
Garlic,2016,2798873.0,331983.15,8.430768248328265
Garlic,2017,2886682.0,375794.25,7.681549145576336
Garlic,2018,2674084.0,317742.22,8.415891347394753
Garlic,2019,2727480.0,329571.76,8.275830429160557
Ginger,2011,470649.0,92751.59,5.074295761398807
Ginger,2013,905946.0,78794.0,11.497652105490266
Ginger,2014,1298796.0,84878.5,15.301825550640032
Ginger,2015,1817839.0,103789.42,17.514685022808685
Ginger,2016,1378066.0,102663.85,13.42308904254029
Ginger,2017,1367487.0,100531.22,13.602610214021077
Ginger,2018,1114974.0,97308.81,11.458099220409744
Ginger,2019,1278481.0,117400.16,10.88994256907316
Gram,2011,6983911.0,7767064.0,0.8991700081266228
Gram,2013,7713053.0,9082264.0,0.849243426528892
Gram,2014,6902723.0,8027593.0,0.859874560157696
Gram,2015,6717889.0,8207767.0,0.8184794963112378
Gram,2016,10359331.0,9408913.0,1.1010125186618263
Gram,2017,12565707.0,10774600.0,1.166234198949381
Gram,2018,9932540.0,9583993.86,1.036367525385706
Gram,2019,11430145.0,9779447.0,1.1687925707864668
Groundnut,2011,6988127.0,5283437.3,1.3226478527529797
Groundnut,2013,10227930.0,5490294.7,1.86291092898893
Groundnut,2014,6983462.0,4709179.5,1.4829466576927042
Groundnut,2015,6323061.0,4566953.2,1.384525026444326
Groundnut,2016,7148294.0,5310293.5,1.3461203227279246
Groundnut,2017,9489191.0,4878415.0,1.945138123755359
Groundnut,2018,6712988.0,4743151.3,1.4153012576259163
Groundnut,2019,9957031.0,4842116.0,2.0563387989878805
Guar seed,2011,1932637.0,3236721.0,0.5970971857012081
Guar seed,2013,3244156.0,5553191.0,0.5841967258104395
Guar seed,2014,2991219.0,4938431.0,0.6057022969441104
Guar seed,2015,2449888.0,5150564.0,0.4756543166923079
Guar seed,2016,1583868.0,3788643.0,0.4180568082028315
Guar seed,2017,1645525.0,3930782.0,0.4186253524107926
Guar seed,2018,1307333.0,3458295.0,0.3780281901919877
Guar seed,2019,1526659.0,3140242.0,0.4861596654015837
Horse-gram,2011,192187.0,415423.0,0.46262965700021424
Horse-gram,2013,211099.0,408335.0,0.5169750327549684
Horse-gram,2014,227589.0,432219.0,0.5265594524997744
Horse-gram,2015,194559.0,416450.0,0.4671845359586985
Horse-gram,2016,92751.0,293128.0,0.3164180835675882
Horse-gram,2017,245171.0,396370.0,0.6185407573731614
Horse-gram,2018,240744.0,490006.0,0.4913082696946568
Horse-gram,2019,295759.0,459037.0,0.644303182532127
Jowar,2011,5730084.0,6131123.0,0.9345896339055667
Jowar,2013,6263185.0,6548537.0,0.9564250763185731
Jowar,2014,5746456.0,6146424.0,0.9349267151110955
Jowar,2015,3896324.0,6070638.0,0.641831056307426
