state,year,production,area,yield
Andaman and Nicobar Island,2011,52473.0,19588.3,2.678792952936192
Andaman and Nicobar Island,2013,61135.0,18532.3,3.2988350069877996
Andaman and Nicobar Island,2014,55888.0,18034.1,3.0990179715095296
Andaman and Nicobar Island,2015,55699.0,17114.9,3.2544157430075544
Andaman and Nicobar Island,2016,46458.0,14777.61,3.1438101289721407
Andaman and Nicobar Island,2017,47458.0,11967.04,3.9657258603631305
Andaman and Nicobar Island,2018,44870.0,12461.88,3.600580329773678
Andaman and Nicobar Island,2019,48873.0,13254.03,3.6874067736379046
Andhra Pradesh,2011,45954963.0,12337713.0,3.724755390241287
Andhra Pradesh,2013,31940612.0,7119881.0,4.486115989859943
Andhra Pradesh,2014,30598170.0,6616824.0,4.624298606098636
Andhra Pradesh,2015,28861983.0,7198306.0,4.009552108509975
Andhra Pradesh,2016,27913921.0,7550743.0,3.69684427082209
Andhra Pradesh,2017,36393171.0,7224675.0,5.037343686740234
Andhra Pradesh,2018,33727131.0,7236091.0,4.660960040441725
Andhra Pradesh,2019,34689110.0,7142089.0,4.856997721534974
Arunachal Pradesh,2011,420643.0,244355.0,1.7214421640645783
Arunachal Pradesh,2013,450274.0,254325.0,1.7704669222451588
Arunachal Pradesh,2014,481342.0,258265.0,1.8637523473951174
Arunachal Pradesh,2015,505120.0,262340.0,1.9254402683540444
Arunachal Pradesh,2016,537704.0,280101.0,1.919678972941903
Arunachal Pradesh,2017,555027.0,282690.0,1.9633768438926031
Arunachal Pradesh,2018,564531.0,284440.0,1.9847103079735622
Arunachal Pradesh,2019,571215.0,285066.0,2.0037991202037424
Assam,2011,8396203.0,3391071.0,2.475973814762357
Assam,2013,9280452.0,3397224.0,2.731775119921442
Assam,2014,9546211.0,3392701.0,2.813749575927852
Assam,2015,9434991.0,3377561.0,2.793433190399818
Assam,2016,9609616.0,3393451.0,2.8318122171205653
Assam,2017,9765971.0,3360470.0,2.9061324755168174
Assam,2018,9850409.0,3335084.0,2.9535714842564684
Assam,2019,9766539.0,3302169.0,2.957613314158058
Bihar,2011,19817283.0,7040241.0,2.8148586106640385
Bihar,2013,31046452.0,7071352.0,4.390454894622697
Bihar,2014,32032883.0,7150228.0,4.479980638379644
Bihar,2015,28196329.0,7055608.0,3.99630038970419
Bihar,2016,35452631.0,7338626.0,4.830963044035764
Bihar,2017,35271100.0,7214473.0,4.8889364476102415
Bihar,2018,39895343.0,7095981.0,5.622244901726766
Bihar,2019,33031947.0,6981897.0,4.731084832675131
CHANDIGARH,2011,3083.0,657.0,4.692541856925419
CHANDIGARH,2013,3014.0,633.0,4.7614533965244865
CHANDIGARH,2014,2880.0,608.0,4.7368421052631575
CHANDIGARH,2015,2888.0,603.0,4.7893864013267
CHANDIGARH,2016,2627.0,558.0,4.707885304659499
CHANDIGARH,2017,2621.0,556.0,4.7140287769784175
CHANDIGARH,2018,2783.0,556.0,5.005395683453237
CHANDIGARH,2019,2921.0,634.0,4.607255520504732
Chhattisgarh,2011,7586617.0,5540083.0,1.3694049349080148
Chhattisgarh,2013,10566038.0,5604609.0,1.8852408794262008
Chhattisgarh,2014,9516550.0,5622128.0,1.6926953637483886
Chhattisgarh,2015,6396995.0,5460481.0,1.1715076016197108
Chhattisgarh,2016,10397228.0,5474747.0,1.899124836270973
Chhattisgarh,2017,7069461.0,5398943.0,1.3094157504533759
Chhattisgarh,2018,7925975.0,5491705.0,1.443263066752493
Chhattisgarh,2019,10365226.0,5630209.0,1.8410019947749718
Dadra and Nagar Haveli,2013,27488.0,15512.0,1.7720474471377
Dadra and Nagar Haveli,2014,27941.0,15825.0,1.7656240126382305
Dadra and Nagar Haveli,2015,85865.0,20322.0,4.225223895285897
Dadra and Nagar Haveli,2016,52736.0,18312.0,2.8798602009611183
Dadra and Nagar Haveli,2017,87429.0,20154.0,4.338047037808872
Dadra and Nagar Haveli,2018,55634.0,21189.0,2.6256076265987067
Daman and Diu,2011,2534.0,2280.0,1.1114035087719298
Daman and Diu,2013,4000.0,2300.0,1.7391304347826086
Daman and Diu,2014,4300.0,2191.5,1.9621263974446725
Daman and Diu,2015,2930.0,2451.3,1.1952841349488026
Daman and Diu,2016,3248.0,2508.0,1.2950558213716108
Daman and Diu,2017,2758.0,2217.0,1.2440234551195308
Daman and Diu,2018,2471.0,1928.0,1.2816390041493777
Delhi,2011,124325.0,30922.0,4.020600219908156
Delhi,2013,129040.0,31194.0,4.136692953773162
Delhi,2014,119877.0,30733.0,3.9005954511437215
Delhi,2015,106954.0,29698.0,3.6013872988080005
Delhi,2016,111196.0,30402.0,3.657522531412407
Delhi,2017,106912.0,30359.0,3.5215916202773476
Delhi,2018,106261.0,29782.0,3.567960513061581
Delhi,2019,116919.0,33033.0,3.5394605394605394
Goa,2011,184998.0,61445.0,3.0107901375213606
Goa,2013,243479.0,115138.0,2.1146710903437613
Goa,2014,237131.0,114560.5,2.0699193875725053
Goa,2015,231258.0,113124.0,2.0442876843110214
Goa,2016,218179.0,111104.0,1.9637366791474655
Goa,2017,218865.0,108709.0,2.0133107654380042
Goa,2018,201480.0,106308.0,1.8952477706287392
Goa,2019,213945.0,102577.0,2.0857014730397654
Gujarat,2011,43997200.0,11583200.0,3.7983631466261483
Gujarat,2013,46120930.0,10934361.0,4.217981279381576
Gujarat,2014,41961922.0,9769341.2,4.295266296974048
Gujarat,2015,35392372.0,9301317.0,3.805092547646747
Gujarat,2016,35985090.0,9755909.0,3.6885430153151284
Gujarat,2017,43885905.0,9910939.0,4.428026950826758
Gujarat,2018,36306934.0,9070388.0,4.002798336741494
Gujarat,2019,44247794.0,10354099.0,4.273456724723223
Haryana,2011,22553300.0,5833062.0,3.8664598456179617
Haryana,2013,28884504.0,5660163.0,5.103122295241321
Haryana,2014,26579369.0,5791864.0,4.589087209230051
Haryana,2015,26910840.0,5772967.0,4.6615267331339325
Haryana,2016,30684133.0,5814773.0,5.276927061469124
Haryana,2017,32522376.0,6235630.0,5.215571802688742
Haryana,2018,32035336.0,6317814.0,5.070636140918362
Haryana,2019,31650652.0,6405869.6,4.940882967708241
Himachal Pradesh,2011,1415094.0,790097.0,1.7910383155485972
Himachal Pradesh,2013,1172961.0,854932.0,1.3719933281243422
Himachal Pradesh,2014,1474057.0,785831.8,1.875791995182684
Himachal Pradesh,2015,1676997.0,780153.0,2.149574506539102
Himachal Pradesh,2016,1099311.0,734414.0,1.4968546351240581
Himachal Pradesh,2017,1661329.0,774477.0,2.145097917691552
Himachal Pradesh,2018,1654530.0,761877.0,2.171649754487929
Himachal Pradesh,2019,1751149.0,765346.0,2.288048804070316
Jammu and Kashmir,2011,1650617.0,993974.0,1.6606239197403554
Jammu and Kashmir,2013,536284.0,368713.0,1.4544754321111542
Jammu and Kashmir,2014,740949.0,612675.0,1.209367119598482
Jammu and Kashmir,2015,1802134.0,986067.0,1.8275979218450673
Jammu and Kashmir,2016,1754074.0,986147.0,1.7787145324175808
Jammu and Kashmir,2017,1956238.0,984990.0,1.98604858932578
Jammu and Kashmir,2018,1992191.0,929629.0,2.142995754220232
Jammu and Kashmir,2019,1708917.0,888688.0,1.9229662153646725
Jharkhand,2011,1970717.0,1204649.0,1.6359263154661647
Jharkhand,2013,2233147.0,1433449.0,1.557883817282652
Jharkhand,2014,2223698.0,1346831.0,1.6510594127993787
Jharkhand,2015,1413552.0,1573437.0,0.8983848733695725
Jharkhand,2016,3949568.0,1837783.0,2.149093772224468
Jharkhand,2017,5676357.0,3515930.0,1.6144681492521182
Jharkhand,2018,4628482.0,3021836.0,1.5316787542407992
Jharkhand,2019,5680543.0,3005390.0,1.8901184205710406
Karnataka,2011,58518401.0,10697733.0,5.470168399230005
Karnataka,2013,59040588.0,10784455.0,5.4746009881816
Karnataka,2014,64510901.0,10746536.0,6.002948391928339
Karnataka,2015,52736247.0,10478628.0,5.032743504206849
Karnataka,2016,44784605.0,10423099.0,4.296668869786232
Karnataka,2017,60885354.0,10521589.0,5.786707121899553
Karnataka,2018,62737116.0,11503985.0,5.453511630969616
Karnataka,2019,61374669.0,11632306.0,5.276225453491337
Kerala,2011,4140113.0,606768.2,6.823220135794856
Kerala,2013,4019121.0,614974.29,6.535429310386292
Kerala,2014,4466675.0,615521.79,7.256729286545648
Kerala,2015,4150453.0,608618.728,6.819463169723558
Kerala,2016,3806572.0,573174.132,6.641213878088972
Kerala,2017,4132781.0,591939.25,6.981765442990983
Kerala,2018,3638517.0,580254.189,6.270557057538106
Kerala,2019,4056402.0,591442.98,6.8584836360725765
Laddak,2011,12098.0,15145.0,0.7988114889402443
Laddak,2019,109.0,273.0,0.3992673992673993
Madhya Pradesh,2011,37404116.0,21738879.0,1.72060923656643
Madhya Pradesh,2013,39477867.0,23304766.0,1.6939825527533725
Madhya Pradesh,2014,42406660.0,22446000.0,1.8892747037334046
Madhya Pradesh,2015,53944915.0,24390721.79,2.2116981803349907
Madhya Pradesh,2016,67336773.0,25764668.97,2.6135314635094264
Madhya Pradesh,2017,66378487.0,25793307.06,2.5734771755165546
Madhya Pradesh,2018,66818703.0,26768484.29,2.4961705816478266
Madhya Pradesh,2019,81508460.0,29409568.35,2.771494604408228
Maharashtra,2011,113534720.0,19750600.0,5.748418782214212
Maharashtra,2013,112117742.0,21027700.0,5.331907055930986
Maharashtra,2014,108323500.0,20862700.0,5.1922090621060555
Maharashtra,2015,83647680.0,20600896.0,4.060390383020233
Maharashtra,2016,87391535.0,22103968.0,3.9536582300517265
Maharashtra,2017,107470785.0,22025712.5,4.879332961419522
Maharashtra,2018,111874637.0,20246239.65,5.525699534036683
Maharashtra,2019,94201044.0,21142632.0,4.455502228861572
